"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"1",0,15,12,16,26,16,12,5,11,15,33,10,5,9,13,5,1,8,15,12,31,4,2,9,5,8,11,2,3,1,1,1,2,3,7,1,7,3,1,13,3,8,0,5,5
"2",15,0,11,88,149,70,55,24,31,57,130,52,31,25,24,11,7,40,31,32,106,14,7,34,16,21,47,9,17,6,12,15,6,11,20,9,23,18,5,21,16,41,3,8,24
"3",12,11,0,17,42,16,16,18,17,17,38,17,3,9,14,5,4,14,17,8,31,16,7,14,3,10,17,4,4,3,4,2,6,4,9,3,7,5,6,6,5,7,0,7,3
"4",16,88,17,0,266,132,115,46,36,132,221,122,71,51,58,33,13,96,54,61,180,23,7,46,26,54,89,28,26,28,56,20,9,36,60,19,48,13,16,69,38,70,3,34,34
"5",26,149,42,266,0,470,448,84,102,295,862,299,237,156,205,85,57,241,154,198,523,65,45,175,73,158,345,79,127,79,116,51,40,86,161,54,148,62,56,168,110,212,23,102,84
"6",16,70,16,132,470,0,257,46,49,178,444,145,145,117,117,44,31,127,66,112,266,38,29,79,27,79,187,46,61,41,55,29,16,52,85,29,92,37,25,95,71,131,16,38,55
"7",12,55,16,115,448,257,0,49,44,152,411,146,187,135,119,29,27,137,82,146,346,32,31,114,47,91,208,53,98,54,57,29,17,62,98,36,116,40,30,81,82,128,15,64,42
"8",5,24,18,46,84,46,49,0,28,60,94,57,34,20,24,15,9,35,28,34,80,5,3,25,10,25,34,8,21,3,18,5,7,14,28,8,17,6,8,18,7,29,2,13,15
"9",11,31,17,36,102,49,44,28,0,40,91,61,24,24,27,27,6,39,52,23,86,14,10,41,23,17,43,6,14,11,20,20,16,12,34,21,19,17,7,26,12,39,1,12,25
"10",15,57,17,132,295,178,152,60,40,0,329,255,92,73,103,38,29,180,76,83,339,35,16,66,38,98,132,30,47,31,72,39,21,48,131,24,70,33,18,81,39,157,9,34,67
"11",33,130,38,221,862,444,411,94,91,329,0,340,228,188,200,90,62,297,153,203,531,76,53,168,75,151,325,77,125,66,129,60,33,87,197,55,170,63,44,183,112,255,19,99,95
"12",10,52,17,122,299,145,146,57,61,255,340,0,86,81,148,80,23,312,79,96,506,29,29,71,56,86,169,36,41,51,97,54,25,44,201,36,88,35,35,79,45,166,11,43,76
"13",5,31,3,71,237,145,187,34,24,92,228,86,0,113,86,23,29,92,46,122,177,23,33,51,24,59,131,46,65,34,49,29,12,35,68,25,71,36,22,59,60,95,4,43,36
"14",9,25,9,51,156,117,135,20,24,73,188,81,113,0,62,20,19,81,30,130,169,32,23,51,19,48,122,63,117,41,40,22,8,37,69,17,91,24,22,43,61,74,8,41,28
"15",13,24,14,58,205,117,119,24,27,103,200,148,86,62,0,22,30,132,35,70,209,23,19,51,34,46,94,29,45,23,51,21,11,31,96,18,58,21,17,56,42,61,8,29,31
"16",5,11,5,33,85,44,29,15,27,38,90,80,23,20,22,0,8,40,29,16,81,13,7,23,15,26,34,9,6,7,27,13,9,14,38,13,17,11,12,24,13,34,2,11,22
"17",1,7,4,13,57,31,27,9,6,29,62,23,29,19,30,8,0,35,12,17,50,14,8,17,8,15,24,5,8,6,10,8,4,8,20,4,12,9,1,15,12,21,1,4,7
"18",8,40,14,96,241,127,137,35,39,180,297,312,92,81,132,40,35,0,67,80,365,39,34,86,47,101,144,47,48,38,90,35,7,37,149,26,81,29,24,82,49,112,5,40,80
"19",15,31,17,54,154,66,82,28,52,76,153,79,46,30,35,29,12,67,0,29,131,12,14,86,35,43,72,14,25,10,29,16,20,16,53,16,36,17,11,40,23,48,1,17,42
