"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"1",0,21,6,12,30,11,11,9,5,16,27,17,9,6,6,6,1,11,11,6,35,3,3,12,3,4,14,2,6,6,5,2,1,0,9,2,13,2,6,8,7,14,3,6,3
"2",21,0,15,93,150,72,60,26,30,61,121,49,36,28,30,23,7,59,26,34,95,10,7,31,17,27,54,10,16,15,21,9,14,9,20,6,27,16,6,38,14,33,8,17,16
"3",6,15,0,17,37,13,11,9,28,15,35,14,13,9,6,8,3,11,15,6,35,7,3,14,5,9,14,7,4,4,2,1,3,2,5,5,6,3,0,9,6,11,2,4,8
"4",12,93,17,0,320,165,103,45,44,190,287,147,96,58,73,47,24,131,58,88,248,27,23,45,21,61,109,16,25,40,37,19,9,28,76,15,61,24,14,62,41,104,30,45,34
"5",30,150,37,320,0,537,406,95,135,364,878,351,268,220,198,114,61,326,172,200,652,53,69,160,57,176,335,68,125,120,121,48,35,94,191,52,177,74,72,174,107,281,59,140,79
"6",11,72,13,165,537,0,255,51,79,202,475,178,135,122,123,68,43,192,102,127,352,36,37,69,36,98,177,39,69,66,60,30,22,47,101,28,94,36,38,107,54,162,30,67,41
"7",11,60,11,103,406,255,0,40,40,149,386,163,137,113,115,55,27,160,65,121,296,34,29,73,30,87,182,34,89,58,54,26,17,44,92,15,91,37,38,86,61,127,28,88,41
"8",9,26,9,45,95,51,40,0,33,70,98,75,35,22,22,17,8,54,27,29,115,6,6,26,9,25,31,12,13,10,16,12,5,10,32,8,21,10,6,25,8,34,13,18,15
"9",5,30,28,44,135,79,40,33,0,59,123,76,33,31,26,36,9,61,51,17,112,10,15,49,18,31,42,5,10,12,18,10,11,11,31,12,25,11,6,38,15,41,12,15,23
"10",16,61,15,190,364,202,149,70,59,0,456,366,125,96,187,52,35,285,84,87,453,29,22,80,46,89,168,34,54,56,100,52,21,38,203,32,88,30,25,108,43,163,44,67,64
"11",27,121,35,287,878,475,386,98,123,456,0,469,255,238,289,113,84,406,175,204,693,68,61,144,71,198,349,63,131,106,156,64,41,79,303,63,190,72,62,190,121,324,54,153,101
"12",17,49,14,147,351,178,163,75,76,366,469,0,123,115,269,86,50,542,85,102,726,55,32,60,57,141,186,29,54,68,139,103,15,44,371,31,144,41,34,126,74,214,51,89,107
"13",9,36,13,96,268,135,137,35,33,125,255,123,0,126,126,37,33,101,44,122,223,28,21,35,20,62,138,40,70,45,49,22,7,32,73,11,83,30,33,58,40,90,29,54,19
"14",6,28,9,58,220,122,113,22,31,96,238,115,126,0,75,23,14,91,52,117,216,21,29,41,24,72,142,62,112,68,47,21,12,31,53,12,114,31,35,61,72,92,36,77,27
"15",6,30,6,73,198,123,115,22,26,187,289,269,126,75,0,31,55,231,37,64,333,43,15,36,23,71,120,22,52,45,70,36,14,38,208,23,80,23,18,67,51,119,26,60,52
