"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"1",0,17,7,20,35,15,9,10,9,24,29,19,10,8,4,3,1,16,9,5,31,7,2,7,4,12,15,0,8,3,9,3,3,6,6,2,7,8,0,9,5,7,0,6,5
"2",17,0,9,60,111,55,50,23,19,51,109,39,33,25,24,16,6,50,24,21,75,14,6,12,5,38,46,5,16,15,19,13,9,13,17,2,19,13,5,25,10,23,5,9,18
"3",7,9,0,18,37,24,18,14,17,17,35,22,5,3,9,2,1,22,10,8,28,3,1,14,5,16,16,1,5,3,2,1,5,6,5,3,2,2,0,12,4,7,0,3,8
"4",20,60,18,0,254,128,121,36,43,140,225,158,65,63,71,23,20,150,53,53,216,24,12,49,31,83,105,16,29,35,43,25,15,30,49,22,41,17,15,52,33,97,11,34,26
"5",35,111,37,254,0,400,393,63,94,303,700,301,208,209,189,68,38,366,152,167,533,67,53,151,79,255,311,56,139,107,113,55,52,91,142,54,146,65,52,152,106,218,38,90,84
"6",15,55,24,128,400,0,210,41,54,179,362,164,129,117,101,40,33,177,58,88,281,36,31,81,28,124,151,19,64,64,60,26,25,45,63,24,73,40,28,88,62,129,22,34,51
"7",9,50,18,121,393,210,0,41,45,136,322,160,125,121,101,28,28,226,69,103,355,41,29,106,41,154,183,30,108,73,59,33,25,45,86,29,117,30,28,76,81,118,21,60,31
"8",10,23,14,36,63,41,41,0,26,58,74,72,23,32,28,21,10,73,28,20,101,8,5,25,9,44,39,6,15,13,24,18,10,16,37,12,22,10,5,18,12,32,3,7,21
"9",9,19,17,43,94,54,45,26,0,46,115,64,33,33,36,19,9,62,48,26,104,8,8,40,13,41,40,5,15,16,14,9,16,14,26,11,19,13,6,28,14,29,4,9,21
"10",24,51,17,140,303,179,136,58,46,0,306,286,84,103,117,41,38,262,59,92,379,38,24,74,52,127,146,17,60,47,104,32,29,37,126,18,89,37,21,76,47,142,19,40,67
"11",29,109,35,225,700,362,322,74,115,306,0,394,196,180,191,66,59,391,136,170,567,72,48,144,82,225,266,45,120,98,118,56,51,81,147,45,154,63,52,150,99,234,34,77,74
"12",19,39,22,158,301,164,160,72,64,286,394,0,105,114,203,94,47,624,94,114,621,42,29,88,67,199,190,29,72,57,167,60,28,56,262,41,129,48,31,110,60,177,19,78,115
"13",10,33,5,65,208,129,125,23,33,84,196,105,0,98,88,21,17,125,45,93,208,34,21,44,28,90,113,20,58,47,39,20,21,27,52,17,60,24,24,50,45,68,19,27,31
"14",8,25,3,63,209,117,121,32,33,103,180,114,98,0,67,15,19,142,41,98,228,34,23,42,26,88,148,46,122,62,54,27,20,39,56,19,99,27,34,68,77,86,28,44,35
"15",4,24,9,71,189,101,101,28,36,117,191,203,88,67,0,25,42,213,49,57,239,34,20,37,26,93,95,17,55,38,67,27,21,33,96,17,60,22,19,63,34,93,14,42,48
"16",3,16,2,23,68,40,28,21,19,41,66,94,21,15,25,0,14,61,28,15,100,16,10,23,16,34,36,3,11,16,22,12,12,12,40,10,13,8,4,21,13,36,3,12,35
"17",1,6,1,20,38,33,28,10,9,38,59,47,17,19,42,14,0,49,11,10,70,19,3,10,8,30,26,4,11,7,18,3,6,12,25,3,6,10,3,17,11,28,3,10,13
"18",16,50,22,150,366,177,226,73,62,262,391,624,125,142,213,61,49,0,93,130,713,62,24,109,75,243,215,35,89,83,155,82,30,74,272,33,144,49,45,105,78,196,27,67,126
"19",9,24,10,53,152,58,69,28,48,59,136,94,45,41,49,28,11,93,0,28,155,10,12,63,34,70,75,11,30,20,35,23,26,23,42,23,38,29,13,42,32,57,7,22,30
"20",5,21,8,53,167,88,103,20,26,92,170,114,93,98,57,15,10,130,28,0,290,34,24,42,33,65,129,36,104,46,37,13,20,33,53,14,86,19,30,39,66,78,19,37,24
"21",31,75,28,216,533,281,355,101,104,379,567,621,208,228,239,100,70,713,155,290,0,84,63,162,110,430,390,63,148,117,262,99,54,94,329,76,238,80,60,212,140,308,55,105,159
"22",7,14,3,24,67,36,41,8,8,38,72,42,34,34,34,16,19,62,10,34,84,0,12,18,6,41,48,14,26,17,24,11,5,10,29,13,28,11,15,17,21,34,11,19,19
"23",2,6,1,12,53,31,29,5,8,24,48,29,21,23,20,10,3,24,12,24,63,12,0,11,8,24,42,15,14,12,12,5,2,10,16,3,14,8,10,8,17,25,10,10,9
"24",7,12,14,49,151,81,106,25,40,74,144,88,44,42,37,23,10,109,63,42,162,18,11,0,37,76,71,14,45,31,30,17,34,27,45,28,47,26,11,44,39,48,9,17,29
"25",4,5,5,31,79,28,41,9,13,52,82,67,28,26,26,16,8,75,34,33,110,6,8,37,0,51,43,1,17,15,27,19,14,14,39,17,33,15,9,29,22,38,8,19,37
"26",12,38,16,83,255,124,154,44,41,127,225,199,90,88,93,34,30,243,70,65,430,41,24,76,51,0,169,29,71,50,99,41,22,58,85,26,109,39,33,80,73,108,28,50,60
"27",15,46,16,105,311,151,183,39,40,146,266,190,113,148,95,36,26,215,75,129,390,48,42,71,43,169,0,56,117,81,86,48,24,69,98,39,152,49,41,104,125,169,25,72,58
"28",0,5,1,16,56,19,30,6,5,17,45,29,20,46,17,3,4,35,11,36,63,14,15,14,1,29,56,0,56,15,11,5,3,7,12,2,48,4,8,13,37,26,8,11,5
"29",8,16,5,29,139,64,108,15,15,60,120,72,58,122,55,11,11,89,30,104,148,26,14,45,17,71,117,56,0,55,23,11,15,26,42,5,120,14,21,45,77,60,21,44,16
"30",3,15,3,35,107,64,73,13,16,47,98,57,47,62,38,16,7,83,20,46,117,17,12,31,15,50,81,15,55,0,33,13,10,12,31,11,43,18,42,36,45,51,25,34,24
"31",9,19,2,43,113,60,59,24,14,104,118,167,39,54,67,22,18,155,35,37,262,24,12,30,27,99,86,11,23,33,0,47,16,40,126,28,56,32,20,70,37,95,9,31,42
"32",3,13,1,25,55,26,33,18,9,32,56,60,20,27,27,12,3,82,23,13,99,11,5,17,19,41,48,5,11,13,47,0,10,16,61,22,17,20,5,38,17,30,5,10,26
"33",3,9,5,15,52,25,25,10,16,29,51,28,21,20,21,12,6,30,26,20,54,5,2,34,14,22,24,3,15,10,16,10,0,13,21,14,20,16,5,17,10,23,3,6,13
"34",6,13,6,30,91,45,45,16,14,37,81,56,27,39,33,12,12,74,23,33,94,10,10,27,14,58,69,7,26,12,40,16,13,0,38,12,36,25,15,36,36,49,7,19,12
"35",6,17,5,49,142,63,86,37,26,126,147,262,52,56,96,40,25,272,42,53,329,29,16,45,39,85,98,12,42,31,126,61,21,38,0,36,94,49,17,72,37,134,11,30,59
"36",2,2,3,22,54,24,29,12,11,18,45,41,17,19,17,10,3,33,23,14,76,13,3,28,17,26,39,2,5,11,28,22,14,12,36,0,24,33,12,28,21,26,5,5,13
"37",7,19,2,41,146,73,117,22,19,89,154,129,60,99,60,13,6,144,38,86,238,28,14,47,33,109,152,48,120,43,56,17,20,36,94,24,0,24,46,63,98,86,26,59,29
"38",8,13,2,17,65,40,30,10,13,37,63,48,24,27,22,8,10,49,29,19,80,11,8,26,15,39,49,4,14,18,32,20,16,25,49,33,24,0,10,52,26,46,6,13,14
"39",0,5,0,15,52,28,28,5,6,21,52,31,24,34,19,4,3,45,13,30,60,15,10,11,9,33,41,8,21,42,20,5,5,15,17,12,46,10,0,25,37,36,31,23,9
"40",9,25,12,52,152,88,76,18,28,76,150,110,50,68,63,21,17,105,42,39,212,17,8,44,29,80,104,13,45,36,70,38,17,36,72,28,63,52,25,0,52,154,9,29,28
"41",5,10,4,33,106,62,81,12,14,47,99,60,45,77,34,13,11,78,32,66,140,21,17,39,22,73,125,37,77,45,37,17,10,36,37,21,98,26,37,52,0,71,31,48,21
"42",7,23,7,97,218,129,118,32,29,142,234,177,68,86,93,36,28,196,57,78,308,34,25,48,38,108,169,26,60,51,95,30,23,49,134,26,86,46,36,154,71,0,17,49,53
"43",0,5,0,11,38,22,21,3,4,19,34,19,19,28,14,3,3,27,7,19,55,11,10,9,8,28,25,8,21,25,9,5,3,7,11,5,26,6,31,9,31,17,0,25,7
"44",6,9,3,34,90,34,60,7,9,40,77,78,27,44,42,12,10,67,22,37,105,19,10,17,19,50,72,11,44,34,31,10,6,19,30,5,59,13,23,29,48,49,25,0,12
"45",5,18,8,26,84,51,31,21,21,67,74,115,31,35,48,35,13,126,30,24,159,19,9,29,37,60,58,5,16,24,42,26,13,12,59,13,29,14,9,28,21,53,7,12,0
