"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"1",0,11,2,11,11,9,10,2,7,9,11,14,7,7,3,5,1,15,6,10,17,3,2,5,1,6,6,3,1,3,3,1,2,0,9,1,5,0,0,7,2,4,0,5,5
"2",11,0,3,44,65,30,46,10,12,33,48,25,19,18,7,7,6,35,15,23,64,1,7,12,4,8,17,8,3,9,3,4,7,3,10,4,7,4,1,7,16,20,2,6,10
"3",2,3,0,11,25,10,12,4,12,6,10,18,5,3,5,2,2,14,6,4,17,4,0,8,3,3,6,0,0,1,0,0,3,5,5,1,6,1,0,2,3,5,0,5,4
"4",11,44,11,0,149,71,71,28,29,80,128,82,39,26,36,17,7,64,35,33,127,12,5,31,14,31,67,12,16,14,22,13,11,15,30,12,20,7,9,24,19,49,0,14,23
"5",11,65,25,149,0,212,218,31,42,133,354,159,106,93,105,39,28,178,78,104,274,28,19,93,34,77,156,20,53,39,42,20,25,43,65,20,50,20,21,67,55,104,16,49,47
"6",9,30,10,71,212,0,130,21,32,84,189,84,70,63,56,26,22,99,38,64,172,22,12,33,21,49,93,15,37,32,29,16,11,26,40,16,18,10,14,42,28,65,8,37,24
"7",10,46,12,71,218,130,0,21,30,71,169,94,78,68,62,18,19,116,40,76,178,22,17,46,18,50,104,18,37,40,26,6,19,18,28,18,32,8,15,43,38,54,14,42,29
"8",2,10,4,28,31,21,21,0,13,29,46,36,11,20,15,10,4,28,9,15,59,6,4,15,7,13,22,3,5,7,10,5,3,5,10,3,10,6,3,8,6,12,1,3,6
"9",7,12,12,29,42,32,30,13,0,23,49,31,14,15,16,10,6,36,26,12,55,5,3,21,13,15,32,5,5,4,6,4,12,8,20,9,12,2,1,11,5,17,0,6,8
"10",9,33,6,80,133,84,71,29,23,0,160,163,31,44,68,29,15,130,33,75,184,15,8,37,15,38,88,14,33,16,36,16,13,18,73,9,31,9,18,44,30,66,6,19,27
"11",11,48,10,128,354,189,169,46,49,160,0,213,87,84,112,39,34,182,65,97,278,28,24,79,35,89,150,22,60,46,54,20,16,34,72,22,64,16,32,88,42,116,11,48,49
"12",14,25,18,82,159,84,94,36,31,163,213,0,48,55,131,51,34,270,36,104,414,30,14,45,19,75,147,22,37,34,58,30,19,21,133,27,65,24,19,68,43,109,10,34,67
"13",7,19,5,39,106,70,78,11,14,31,87,48,0,46,43,13,14,62,19,47,100,17,9,25,13,32,63,10,30,17,21,9,7,14,21,6,20,5,15,28,25,33,12,21,11
"14",7,18,3,26,93,63,68,20,15,44,84,55,46,0,45,11,8,59,16,57,126,11,12,21,13,28,68,24,39,33,13,5,6,21,19,10,20,10,17,30,24,30,12,23,12
"15",3,7,5,36,105,56,62,15,16,68,112,131,43,45,0,19,27,118,14,47,143,18,13,18,11,32,65,7,26,16,31,7,7,9,80,11,26,10,8,33,23,41,4,26,30
"16",5,7,2,17,39,26,18,10,10,29,39,51,13,11,19,0,9,43,5,15,64,10,2,10,9,13,32,5,4,6,12,6,5,3,27,3,12,6,5,13,11,24,1,5,11
"17",1,6,2,7,28,22,19,4,6,15,34,34,14,8,27,9,0,32,7,16,38,8,2,10,6,12,18,4,4,9,4,6,3,5,15,3,9,4,3,14,5,18,0,6,8
"18",15,35,14,64,178,99,116,28,36,130,182,270,62,59,118,43,32,0,53,63,325,29,16,56,35,59,129,21,43,32,58,29,20,25,127,17,49,23,11,64,32,88,9,47,50
"19",6,15,6,35,78,38,40,9,26,33,65,36,19,16,14,5,7,53,0,27,76,8,2,45,20,18,43,4,16,13,20,6,13,13,20,9,11,5,9,11,16,27,0,17,16
"20",10,23,4,33,104,64,76,15,12,75,97,104,47,57,47,15,16,63,27,0,243,16,10,19,7,30,119,24,39,34,32,15,13,12,38,9,42,11,17,35,49,42,7,19,29
"21",17,64,17,127,274,172,178,59,55,184,278,414,100,126,143,64,38,325,76,243,0,43,29,89,45,131,290,29,54,51,110,45,32,42,198,33,84,33,26,110,79,174,23,58,93
"22",3,1,4,12,28,22,22,6,5,15,28,30,17,11,18,10,8,29,8,16,43,0,5,11,2,18,30,4,4,2,10,3,1,9,12,1,10,5,3,17,11,21,3,8,4
"23",2,7,0,5,19,12,17,4,3,8,24,14,9,12,13,2,2,16,2,10,29,5,0,2,1,10,28,1,6,4,4,2,2,3,6,0,3,2,2,14,9,7,5,6,4
"24",5,12,8,31,93,33,46,15,21,37,79,45,25,21,18,10,10,56,45,19,89,11,2,0,23,23,54,5,15,26,22,11,23,13,25,7,19,8,8,25,17,35,7,14,18
