"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"1",0,18,9,9,16,11,8,5,10,11,16,8,4,3,4,2,1,9,5,3,22,5,1,4,2,5,3,0,1,2,3,1,2,3,3,3,1,2,0,7,1,4,0,4,2
"2",18,0,11,67,103,45,36,20,21,47,88,42,21,22,16,16,7,32,23,39,60,4,6,19,4,27,24,4,13,4,15,6,5,11,10,5,15,10,3,13,11,21,6,13,9
"3",9,11,0,15,40,21,18,11,24,15,41,9,7,11,13,7,5,14,15,12,32,10,4,15,3,14,15,3,8,10,7,3,7,4,11,0,13,2,4,7,13,17,3,6,5
"4",9,67,15,0,229,112,79,33,28,124,196,126,51,58,56,31,19,83,32,64,149,13,8,33,17,54,69,11,41,16,47,16,8,20,36,19,45,9,12,39,17,80,10,18,20
"5",16,103,40,229,0,428,300,92,90,281,686,265,191,187,171,74,51,259,119,200,444,48,28,130,62,193,277,34,114,73,103,39,31,86,127,43,128,44,37,132,97,223,31,88,64
"6",11,45,21,112,428,0,192,39,41,147,369,135,119,102,108,43,34,135,46,112,234,34,18,51,26,99,125,15,53,50,56,28,22,44,76,24,80,19,33,72,62,123,14,37,40
"7",8,36,18,79,300,192,0,32,35,123,269,94,102,116,79,23,22,123,46,101,209,22,21,52,23,95,140,31,66,45,47,19,16,41,56,27,71,21,21,51,67,111,19,49,23
"8",5,20,11,33,92,39,32,0,25,55,70,65,22,25,24,25,7,38,20,28,65,9,3,20,7,32,40,6,13,11,13,11,8,11,22,8,17,9,8,16,17,23,7,10,12
"9",10,21,24,28,90,41,35,25,0,48,81,41,18,32,25,26,7,43,36,25,70,12,5,40,15,36,33,5,17,7,16,10,15,11,25,10,22,5,12,27,21,22,7,18,19
"10",11,47,15,124,281,147,123,55,48,0,279,199,69,66,87,39,30,186,56,93,277,24,17,44,30,109,115,20,49,30,69,22,17,30,108,25,72,23,21,64,50,117,9,38,46
"11",16,88,41,196,686,369,269,70,81,279,0,305,183,189,196,72,56,278,139,189,454,60,32,109,66,208,239,47,113,73,114,43,37,92,146,51,147,46,40,128,102,228,20,94,54
"12",8,42,9,126,265,135,94,65,41,199,305,0,75,75,128,67,35,314,59,125,432,34,21,50,45,136,138,25,50,37,114,44,18,43,163,27,83,30,21,103,67,140,9,45,63
"13",4,21,7,51,191,119,102,22,18,69,183,75,0,87,72,18,21,68,25,105,146,20,21,34,24,68,90,32,64,32,36,12,13,30,51,14,69,16,18,36,38,71,8,37,26
"14",3,22,11,58,187,102,116,25,32,66,189,75,87,0,59,18,19,90,39,110,174,21,19,37,19,93,137,40,98,58,41,19,13,34,52,18,92,27,32,42,62,71,22,48,27
"15",4,16,13,56,171,108,79,24,25,87,196,128,72,59,0,27,37,128,28,82,181,27,17,40,23,89,82,14,55,33,48,26,8,20,88,10,56,15,17,53,39,72,15,41,24
"16",2,16,7,31,74,43,23,25,26,39,72,67,18,18,27,0,5,40,18,23,71,12,5,18,15,33,36,4,9,9,28,11,11,11,29,7,21,5,7,19,14,34,4,7,23
"17",1,7,5,19,51,34,22,7,7,30,56,35,21,19,37,5,0,47,8,21,50,11,6,10,7,17,19,3,9,8,11,8,3,4,25,10,12,5,3,8,8,26,4,5,7
"18",9,32,14,83,259,135,123,38,43,186,278,314,68,90,128,40,47,0,62,102,363,29,23,78,41,140,145,33,64,41,80,40,23,46,135,36,81,18,26,69,50,139,14,47,74
"19",5,23,15,32,119,46,46,20,36,56,139,59,25,39,28,18,8,62,0,35,114,9,4,55,24,51,54,9,20,17,24,11,16,20,28,20,30,14,6,41,18,35,3,13,20
"20",3,39,12,64,200,112,101,28,25,93,189,125,105,110,82,23,21,102,35,0,292,34,19,28,26,104,148,45,113,53,40,24,8,45,71,23,109,19,25,43,65,93,20,47,25
