"","Aug2016","Sep2016","Oct2016","Nov2016","Dec2016","Jan2017","Feb2017","Mar2017","Apr2017","May2017","Jun2017","Jul2017","Aug2017","Sep2017","Oct2017","Nov2017","Dec2017","Jan2018","Feb2018","Mar2018","Apr2018","May2018","Jun2018"
"1",0.00307619498343587,0.00349103502206334,0.00364259695736019,0.00249085972076714,0.00358549903234725,0.00326343218761633,0.00416022004469658,0.0036168577019849,0.00357634112792297,0.00443131462333826,0.00287398673544584,0.00313455657492355,0.00498798076923077,0.00407391241088317,0.00721231766612642,0.00564440263405456,0.00155159038013964,0.00510344827586207,0.00359947643979058,0.00425101214574899,0.00788804071246819,0.00951173113506658,0.00276548672566372
"2",0.0116501025398328,0.0129587220018991,0.0111301573697117,0.0106048619871288,0.0101430743710257,0.0120734582454399,0.0119305483926422,0.0125454291305563,0.0102967184122617,0.0109200253217978,0.0130803242446573,0.0117354740061162,0.0114182692307692,0.0080750763858577,0.0102106969205835,0.0102304797742239,0.00737005430566331,0.00579310344827586,0.00359947643979058,0.00951417004048583,0.0155216284987277,0.00760938490805327,0.00525442477876106
"3",0.00347057895567124,0.00444990597479007,0.00441635121300859,0.00549485792478245,0.00371509538291402,0.00409480084377714,0.00405707409317518,0.00504962258876153,0.00491255649439968,0.0050907364422874,0.00486366985998526,0.00489296636085627,0.00348557692307692,0.00349192492361414,0.00291734197730956,0.00258701787394168,0.00252133436772692,0.00317241379310345,0.00163612565445026,0.00303643724696356,0.000763358778625954,0,0.000276548672566372
"4",0.0253352263764001,0.024763075089836,0.0246053853296193,0.02372196446516,0.0242863560962123,0.0265293460727137,0.0267835654117242,0.0301404808498742,0.0308705050108076,0.0348174720405149,0.0309506263817244,0.0282492354740061,0.0261418269230769,0.028153644696639,0.0276337115072934,0.0270460959548448,0.0245345228859581,0.0306206896551724,0.0340314136125654,0.0291497975708502,0.0221374045801527,0.020291693088142,0.0273783185840708
"5",0.0661066414260924,0.0699882701223259,0.0722448396543104,0.0690385067670137,0.0630443046723804,0.0621417049261695,0.0613202681794739,0.0647365110427733,0.0578895657300059,0.054019835408314,0.0640383198231393,0.0511467889908257,0.0465745192307692,0.053179106649207,0.0505672609400324,0.0482126058325494,0.0432505818463925,0.0413793103448276,0.0395942408376963,0.042914979757085,0.0442748091603053,0.0409004438807863,0.0359513274336283
"6",0.0382236945890519,0.039667467277365,0.0399852391495846,0.0392764747386201,0.0347663809787117,0.0373371386028043,0.0374763623861097,0.0411657813810456,0.040597366869719,0.0376925511711332,0.0397936624907885,0.0326834862385321,0.0340745192307692,0.0352102429797759,0.0354943273905997,0.0304562558795861,0.0274437548487199,0.0402758620689655,0.0296138743455497,0.0275303643724696,0.0315521628498728,0.0351934051997463,0.033462389380531
"7",0.0329231740022086,0.0422461784803292,0.0342713615694117,0.0335784994975519,0.0368485623444844,0.0369276585184266,0.0390063606670105,0.0435595471065138,0.0373747298093928,0.0276957163958641,0.0384672070744289,0.0357033639143731,0.0307692307692308,0.0291721227993598,0.03354943273906,0.0235183443085607,0.0285104732350659,0.0404137931034483,0.0238874345549738,0.0277327935222672,0.0414758269720102,0.0377298668357641,0.0276548672566372
"8",0.00986748698532892,0.010417248505837,0.0123205485322477,0.0110538581599709,0.0104109068288637,0.0102990445464698,0.0100567302733368,0.0116368465194297,0.00907840440165062,0.00946929732010973,0.00994841562269713,0.0116590214067278,0.00925480769230769,0.0111305106940201,0.0104538087520259,0.0141110065851364,0.0124127230411171,0.00372413793103448,0.00589005235602095,0.0125506072874494,0.0094147582697201,0.00856055802155993,0.00691371681415929
"9",0.0118236314876163,0.0118974473551919,0.0114872747184725,0.0121442774368733,0.01141311860658,0.0120486412706291,0.0119305483926423,0.010833100363433,0.0121045392022008,0.0110519096855877,0.0134856300663228,0.0120030581039755,0.0107572115384615,0.0114215044376546,0.0111021069692058,0.0123471307619944,0.00581846392552366,0.0103448275862069,0.00948952879581152,0.00789473684210526,0.0089058524173028,0.0155358275206088,0.00580752212389381
"10",0.0395014986590945,0.0361112662682232,0.0347951336809276,0.0361441919137927,0.0362005805916505,0.0329073085990818,0.035740072202166,0.0302278445624825,0.0331106307722539,0.0346064570584511,0.0315401621223287,0.036697247706422,0.0344350961538461,0.0304815946457151,0.033387358184765,0.0306914393226717,0.0290923196276183,0.0286896551724138,0.0353403141361257,0.0261133603238866,0.0221374045801527,0.025998731769182,0.0284845132743363
