"","Aug2016","Sep2016","Oct2016","Nov2016","Dec2016","Jan2017","Feb2017","Mar2017","Apr2017","May2017","Jun2017","Jul2017","Aug2017","Sep2017","Oct2017","Nov2017","Dec2017","Jan2018","Feb2018","Mar2018","Apr2018","May2018","Jun2018"
"1",0.012856917494873,0.010342773092033,0.00738042520772326,0.00629663680485771,0.00941733480785181,0.0112172726144683,0.00613718411552346,0.00414103997763489,0.00414619768127333,0.00358725469508335,0.000847457627118644,0.000458715596330275,0.000480769230769231,0.000436490615451768,0.00218800648298217,0.00105832549388523,0.000387897595034911,0,0.000163612565445026,0.000404858299595142,0.00534351145038168,0.000951173113506658,0
"2",0.0519640321817321,0.0407939079111508,0.0248196557388758,0.0296123666374463,0.0252108100635886,0.0393721305372875,0.0140622313907512,0.0150615040536763,0.0132442523089016,0.00886262924667651,0.00405305821665439,0.00206422018348624,0.00114182692307692,0.00036374217954314,0.00429497568881685,0.00129350893697084,0.000775795190069822,0.000413793103448276,0.000327225130890052,0.00101214574898785,0.00712468193384224,0.00126823081800888,0
"3",0.0154677393910711,0.0148112979202741,0.0109158869604552,0.0180132988390242,0.00981476361625657,0.0121355006824668,0.00544954443871411,0.00555633212188985,0.00587541756730202,0.00319160160371386,0.00114222549742078,0.000726299694189602,0.000480769230769231,7.2748435908628e-05,0.00113452188006483,0.00070555032925682,0.000290923196276183,0.000137931034482759,0.000327225130890052,0.000607287449392712,0.000508905852417303,0,0
"4",0.112423095125414,0.0805823977359474,0.056495964573959,0.0653930854589382,0.0597352778545756,0.0779625263680357,0.0353962523637614,0.0323071009225608,0.0378266850068776,0.0266670183583034,0.00755342667649226,0.00363149847094801,0.00234375,0.00160046558998981,0.00777957860615883,0.00141110065851364,0.00193948797517455,0.0023448275862069,0.00425392670157068,0.00222672064777328,0.0147582697201018,0.00412175015852885,0.000829646017699115
"5",0.28813693011516,0.222802509821445,0.177189724543485,0.201193046973552,0.143791470832181,0.202034991934483,0.0771703627299295,0.0594247973161868,0.0595598349381018,0.0340525427305339,0.0243183492999263,0.00959480122324159,0.00456730769230769,0.00349192492361414,0.00988654781199351,0.00634995296331138,0.00329712955779674,0.00317241379310345,0.00883507853403142,0.00566801619433198,0.0254452926208651,0.00919467343056436,0
"6",0.175161697428617,0.131104656575248,0.0984929647882294,0.11264458745804,0.0837970002764722,0.11513835463457,0.0482207323362558,0.0494478613363154,0.0532717626252702,0.0261658577759021,0.0076271186440678,0.0055045871559633,0.00324519230769231,0.003128182744071,0.0126418152350081,0.00305738476011289,0.00290923196276183,0.00179310344827586,0.00359947643979058,0.00445344129554656,0.0180661577608142,0.0133164235890932,0.00138274336283186
"7",0.145598674869853,0.142052542404439,0.0748279884770135,0.0987470868700691,0.0945621371302184,0.124295818339744,0.0505758982293278,0.0525754822476936,0.0485360581646689,0.0232116480270099,0.0136330140014738,0.00634556574923547,0.00198317307692308,0.00276444056452786,0.0128038897893031,0.00164628410159925,0.00252133436772692,0.00262068965517241,0.0031086387434555,0.00323886639676113,0.0320610687022901,0.0098287888395688,0.000553097345132743
"8",0.0434374507020035,0.0325271369789049,0.0267599933338095,0.0309379743858374,0.024968896875864,0.0311949373371386,0.0127041430290528,0.0132792843164663,0.0101198663784634,0.00701624815361891,0.00346352247605011,0.00133792048929664,0.000961538461538462,0.000800232794994908,0.00235008103727715,0.00105832549388523,0.00145461598138092,0,0.000654450261780105,0.00182186234817814,0.00585241730279898,0.00221940393151554,0
"9",0.0526818110112005,0.0364929527639688,0.0279980001428469,0.0341771610613414,0.0268178048106165,0.0372130537287505,0.0154203197524497,0.0117067374895164,0.0157594812340342,0.00778117746359992,0.00478997789240973,0.00233180428134557,0.00102163461538462,0.000945729666812164,0.00259319286871961,0.00223424270931326,0.000678820791311094,0.00124137931034483,0.000981675392670157,0.001417004048583,0.00585241730279898,0.00380469245402663,0.000553097345132743
"10",0.170586843350686,0.108417583645199,0.0786491441087541,0.106390712193453,0.0874429776057506,0.100260578235513,0.0492693828433901,0.0333554654738608,0.0375712320691688,0.0275902089048322,0.0111274871039057,0.00653669724770642,0.00318509615384615,0.00210970464135021,0.00915721231766613,0.0035277516462841,0.00184251357641583,0.00193103448275862,0.00539921465968587,0.00425101214574899,0.0114503816793893,0.00729232720355105,0.000553097345132743
